Country_or_dependency,Population_2024,Yearly_Change,Net_Change,Density_PKm2,Land_Area_Km2,Migrants_net,Fertility_Rate,Median_Age,Urban_Pop_Percentage,World_Share,Total_Area_KM,Total_Area_M,Land_Area_KM,Land_Area_M,Percentage_World_Mass,kids,adults,retired
Niger,27032412,3.34,872545,21,1266700,-4041,5.9,15,18,0.33,1267000,489191,1266700,489075,0.9,49.7,47.6,2.7
Nigeria,232679478,2.1,4796533,255,910770,-35202,4.4,18,54,2.85,923768,356669,910770,351650,0.6,40.69,55.95,3.36
North Korea,26498823,0.31,80619,220,120410,-2473,1.8,36,63,0.32,120538,46540,120410,46491,0.1,20.24,69.16,10.6
Northern Mariana Islands,44278,-1.92,-865,96,460,-1097,2.3,37,0,0.0,464,179,460,178,0.0,22.61,67.95,9.43
Norway,5576660,1.04,57493,15,365268,44356,1.4,40,86,0.07,323802,125021,365268,141031,0.2,17.83,64.0,18.18
Oman,5281538,4.6,232269,17,309500,154219,2.5,29,93,0.06,309500,119499,309500,119499,0.2,29.88,66.17,3.95
Pakistan,251269164,1.52,3764669,326,770880,-1401173,3.5,20,34,3.08,881912,340508,770880,297638,0.5,34.81,60.41,4.77
Palau,17695,-0.18,-32,38,460,-14,1.9,38,0,0.0,459,177,460,178,0.0,17.49,71.82,10.69
Panama,4515577,1.27,56818,61,74340,6706,2.1,30,70,0.06,75417,29119,74340,28703,0.0,25.19,64.87,9.94
Papua New Guinea,10576502,1.8,186867,23,452860,-707,3.1,23,12,0.13,462840,178703,452860,174850,0.3,37.34,58.75,3.9
Paraguay,6929153,1.24,85007,17,397300,-12451,2.4,27,68,0.08,406752,157048,397300,153398,0.3,22.4,68.54,9.06
Peru,34217848,1.1,372231,27,1280000,18406,2.0,30,80,0.42,1285216,496224,1280000,494211,0.9,26.04,65.94,8.02
Philippines,115843670,0.83,952471,389,298170,-160373,1.9,26,49,1.42,342353,132183,298170,115124,0.2,30.49,64.06,5.45
Poland,38539201,-0.58,-223643,126,306230,-238062,1.3,42,59,0.47,312679,120726,306230,118236,0.2,14.53,64.87,20.6
Portugal,10425292,-0.05,-5446,114,91590,20648,1.5,47,66,0.13,92090,35556,91590,35363,0.1,12.85,65.18,21.96
Qatar,3048423,2.33,69341,263,11610,46105,1.7,34,97,0.04,11586,4473,11610,4483,0.0,13.08,85.51,1.41
Romania,19015088,-0.54,-103391,83,230170,-28466,1.7,43,55,0.23,238391,92043,230170,88869,0.2,15.63,62.13,22.24
Russia,144820423,-0.43,-620077,9,16376870,-178042,1.5,40,75,1.77,17098242,6601665,16376870,6323142,11.0,17.26,65.79,16.85
Rwanda,14256567,2.16,302096,578,24670,-15582,3.6,20,18,0.17,26338,10169,24670,9525,0.0,37.95,59.1,2.95
Saint Barthelemy,11258,1.56,173,536,21,180,0.8,39,0,0.0,21,8,21,8,0.0,14.1,63.8,22.11
Saint Lucia,179744,0.26,459,295,610,-7,1.4,34,20,0.0,616,238,610,236,0.0,18.23,66.97,14.8
Saint Martin,26129,-5.04,-1386,493,53,-1424,2.7,41,0,0.0,53,20,53,20,0.0,24.9,64.65,10.45
Samoa,218019,0.63,1356,77,2830,-2754,3.8,20,16,0.0,2842,1097,2830,1093,0.0,27.33,65.72,6.94
San Marino,33581,-0.45,-152,560,60,37,1.2,48,100,0.0,61,24,60,23,0.0,14.34,64.58,21.08
Saudi Arabia,33962757,2.1,698465,16,2149690,122170,2.3,30,92,0.42,2149690,830000,2149690,830000,1.4,23.45,72.36,4.19
Senegal,18501984,2.35,424411,96,192530,-10307,3.8,19,52,0.23,196722,75955,192530,74336,0.1,41.19,55.46,3.34
Serbia,6736216,-0.55,-36985,77,87460,-8132,1.5,44,73,0.08,88361,34116,87460,33768,0.1,14.45,65.81,19.74
Seychelles,130418,1.93,2467,284,460,1747,2.1,34,44,0.0,452,175,460,178,0.0,17.95,72.58,9.47
Sierra Leone,8642022,2.15,181510,120,72180,-11000,3.7,19,45,0.11,71740,27699,72180,27869,0.0,40.54,56.89,2.58
Singapore,5832387,0.75,43297,8332,700,20011,1.0,36,0,0.07,710,274,700,270,0.0,14.82,71.49,13.7
Sint Maarten,43350,1.41,601,1275,34,558,1.4,42,100,0.0,34,13,34,13,0.0,18.52,67.18,14.29
Slovakia,5506760,-0.2,-11295,115,48088,-21027,1.6,42,54,0.07,49037,18933,48088,18567,0.0,14.87,66.49,18.64
Slovenia,2118697,0.01,301,105,20140,3319,1.6,44,55,0.03,20273,7827,20140,7776,0.0,14.55,62.73,22.72
Solomon Islands,819198,2.4,19193,29,27990,1610,3.5,20,23,0.01,28896,11157,27990,10807,0.0,31.06,63.82,5.12
Somalia,19009151,3.54,650536,30,627340,26859,6.0,16,46,0.23,637657,246201,627340,242217,0.4,41.54,55.77,2.69
South Africa,64007187,1.26,794803,53,1213090,166972,2.2,28,66,0.78,1221037,471445,1213090,468376,0.8,27.49,66.07,6.44
South Korea,51717590,-0.06,-31149,532,97230,75963,0.7,45,82,0.63,100210,38691,97230,37541,0.1,11.53,70.1,18.38
South Sudan,11943408,4.01,460034,20,610952,15374,3.8,18,27,0.15,619745,239285,610952,235890,0.4,41.93,55.48,2.59
Spain,47910526,0.0,-1053,96,498800,111674,1.2,45,79,0.59,505992,195365,498800,192588,0.3,13.37,66.13,20.5
Sri Lanka,23103565,0.57,131948,368,62710,-27245,2.0,33,18,0.28,65610,25332,62710,24212,0.0,21.95,66.22,11.83
Sudan,50448963,0.81,406172,29,1765048,-544257,4.3,18,35,0.62,1886068,728215,1765048,681489,1.2,40.47,56.35,3.19
Suriname,634431,0.88,5545,4,156000,-1166,2.2,28,62,0.01,163820,63251,156000,60232,0.1,22.77,69.96,7.27
Sweden,10606999,0.53,55505,26,410340,50115,1.4,40,87,0.13,450295,173860,410340,158433,0.3,17.26,62.05,20.69
Switzerland,8921981,0.58,51420,226,39516,40099,1.4,43,74,0.11,41284,15940,39516,15257,0.0,15.49,65.13,19.38
Syria,24672760,4.57,1078137,134,183630,546494,2.7,23,53,0.3,185180,71498,183630,70900,0.1,33.27,62.58,4.15
Taiwan,23213962,-0.44,-103183,656,35410,-25832,0.9,44,83,0.28,36193,13974,35410,13672,0.0,12.22,69.72,18.07
Tajikistan,10590927,1.94,201128,76,139960,-21236,3.0,22,27,0.13,143100,55251,139960,54039,0.1,29.98,65.84,4.18
Tanzania,68560157,2.92,1942551,77,885800,-29865,4.5,17,39,0.84,945087,364900,885800,342009,0.6,41.5,55.15,3.35
Thailand,71668011,-0.05,-34424,140,510890,23321,1.2,40,53,0.88,513120,198117,510890,197256,0.3,16.0,69.53,14.47
Timor-Leste,1400638,1.18,16352,94,14870,-2552,2.6,21,35,0.02,14874,5743,14870,5741,0.0,39.05,56.61,4.34
Togo,9515236,2.27,210899,175,54390,-14014,4.1,19,44,0.12,56785,21925,54390,21000,0.0,38.98,56.76,4.26
Tonga,104175,-0.4,-422,145,720,-2149,3.1,21,26,0.0,747,288,720,278,0.0,29.92,62.79,7.29
Trinidad and Tobago,1507782,0.32,4850,294,5130,1334,1.5,37,49,0.02,5130,1981,5130,1981,0.0,19.04,67.4,13.56
Tunisia,12277109,0.63,76678,79,155360,-15221,1.8,33,71,0.15,163610,63170,155360,59985,0.1,24.77,65.26,9.98
Turkey,87473805,0.23,203304,114,769630,-275952,1.6,33,76,1.07,783562,302535,769630,297156,0.5,22.12,68.58,9.31
Turkmenistan,7494498,1.77,130060,16,469930,14646,2.7,27,46,0.09,488100,188456,469930,181441,0.3,24.63,68.82,6.55
Tuvalu,9646,-1.73,-170,322,30,-280,3.2,24,83,0.0,26,10,30,12,0.0,29.27,63.3,7.43
Uganda,50015092,2.79,1358491,250,199810,-117924,4.2,17,29,0.61,241550,93263,199810,77147,0.1,47.3,50.31,2.39
Ukraine,37860221,0.34,127385,65,579320,1146012,1.0,42,79,0.46,603500,233013,579320,223677,0.4,15.3,66.25,18.45
United Arab Emirates,11027129,3.62,385048,132,83600,278439,1.2,32,82,0.14,83600,32278,83600,32278,0.1,16.23,81.77,2.0
United Kingdom,69138192,0.66,455230,286,241930,417114,1.6,40,84,0.85,242900,93784,241930,93410,0.2,17.31,63.43,19.26
United States,345426571,0.57,1949236,38,9147420,1286132,1.6,38,82,4.23,9372610,3618783,9147420,3531837,6.1,17.75,63.52,18.73
Uruguay,3386588,-0.04,-1493,19,175020,-1348,1.4,36,0,0.04,181034,69898,175020,67576,0.1,19.02,65.55,15.43
Uzbekistan,36361859,1.99,709552,85,425400,-7066,3.5,27,48,0.45,447400,172742,425400,164248,0.3,22.48,70.64,6.88
Vanuatu,327777,2.3,7368,27,12190,-43,3.6,20,25,0.0,12189,4706,12190,4707,0.0,31.73,63.41,4.86
Venezuela,28405543,0.37,104689,32,882050,-105297,2.1,29,0,0.35,916445,353841,882050,340561,0.6,25.13,65.98,8.9
Vietnam,100987686,0.63,635494,326,310070,-59645,1.9,33,41,1.24,331212,127882,310070,119719,0.2,23.44,68.69,7.87
Yemen,40583164,3.03,1192365,77,527970,-10482,4.5,18,33,0.5,527968,203850,527970,203850,0.4,35.14,61.52,3.34
Zambia,21314956,2.85,590991,29,743390,7381,4.0,18,46,0.26,752612,290585,743390,287024,0.5,42.49,54.77,2.74
Zimbabwe,16634373,1.8,293551,43,386850,-60528,3.7,18,38,0.2,390757,150872,386850,149364,0.3,38.16,57.32,4.52
